index,adress,arrondissement,date,school,lat,long
37,,12,2020-09-14T22:00:00-04:00,Oui,48.8404199,2.389878195
38,Zone Lévis,17,,Non,48.88303654,2.314389891
39,0,1,2018-12-03T20:00:00-05:00,Non,48.85874116,2.345707974
40,0,5,2009-12-14T20:00:00-05:00,Non,48.85241911,2.346086283
41,0,18,,Non,48.89917841,2.338275219
42,0,15,,Non,48.84494644,2.304589419
43,0,6,2009-12-10T20:00:00-05:00,Non,48.85525797,2.332988514
44,Rue Vauvenargues,18,2021-03-29T20:00:00-04:00,Oui,48.89234192,2.334324572
45,0,14,2009-12-10T20:00:00-05:00,Non,48.83371402,2.330336652
46,0,19,,Non,48.8868187,2.388960055
47,,12,2020-09-14T22:00:00-04:00,Non,48.84315326,2.388628831
48,0,8,2014-08-18T22:00:00-04:00,Non,48.87580769,2.325352878
49,Rue Henri Noguères,19,,Non,48.8845627,2.374654992
50,,9,2020-06-18T22:00:00-04:00,Non,48.8765882,2.327440859
51,Passage de Thionville,19,2022-02-17T20:00:00-05:00,Oui,48.88802206,2.382105383
52,0,20,,Non,48.87083821,2.38364105
53,0,16,,Non,48.87177506,2.291001519
54,Rue de la Guadeloupe,18,2021-03-29T20:00:00-04:00,Oui,48.89070888,2.362906944
55,0,19,,Non,48.87980299,2.393776438
56,0,7,,Non,48.86265145,2.300228276
57,Rue du Grenier Saint-Lazare,3,2019-07-25T22:00:00-04:00,Non,48.86299387,2.353238424
58,Rue Amelot entre rue de Crussol et rue Jean-Pierre Timbaud,11,2022-01-31T20:00:00-05:00,Oui,48.86435611,2.366746828
59,Place Emile Landrin,20,2022-08-15T20:00:00-04:00,Non,48.86409573,2.400470535
60,Rue d'Oran,18,,Oui,48.88901081,2.352617955
61,Passage Chanvin,13,2022-05-26T20:00:00-04:00,Non,48.83208877,2.371122451
62,0,19,,Non,48.88344142,2.385915449
63,,15,2020-08-27T22:00:00-04:00,Oui,48.83947731,2.29806096
64,0,18,2018-09-06T22:00:00-04:00,Non,48.89559899,2.363912829
65,Rue Edouard Quénu,5,,Non,48.83922687,2.34956148
66,0,7,,Non,48.86082796,2.325961764
67,Beaubourg,4,2021-12-02T20:00:00-05:00,Non,48.85830163,2.349803513
68,0,19,,Non,48.87611266,2.389265259
69,0,19,,Non,48.88592813,2.376837263
70,Rue Paul Abadie,18,,Non,48.89686344,2.335510099
71,0,15,2013-10-24T22:00:00-04:00,Non,48.84947882,2.282306281
72,0,17,,Non,48.88216924,2.317364209
73,0,4,,Non,48.85293453,2.348674223
74,Rue Bayen- rue Poncelet,17,,Non,48.87876307,2.296021354
75,0,18,2018-09-06T22:00:00-04:00,Non,48.89439858,2.360197444
76,,10,,Non,48.87396611,2.372482604
77,0,1,,Non,48.86564238,2.336756579
78,Rue du Nord,18,,Non,48.89312215,2.349848676
79,Zac Bercy,12,1999-06-14T22:00:00-04:00,Non,48.83530215,2.386547283
80,Place Alphone Allais,20,,Non,48.87058189,2.382059628
81,,16,2020-08-27T22:00:00-04:00,Oui,48.84205137,2.263464222
