arrondissement,size,rooms,price,vue,gardien,calme,refait,ascenseur,terrasse,ancien,charmant,entretenu,magnifique,exclusivité,superbe,lumineux,beau,traversant,standing,hauteur,pierre,recent,pricem2
17,16.88,2,149000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8827.014218
13,94,4,830000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8829.787234
20,47.54,2,420000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8834.665545
13,36.21,2,320000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8837.337752
12,96.12,5,850000,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8843.112776
20,96,4,849000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,8843.75
20,45,3,398000,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8844.444444
20,26,2,230000,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8846.153846
18,42.83,2,379000,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8848.937661
18,41.65,2,369000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8859.543818
19,25.5,1,226000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8862.745098
15,39.9,2,354000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8872.180451
15,12.38,1,110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8885.298869
18,46,3,408800,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8886.956522
19,33.63,2,299000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8890.871246
10,33.38,2,296800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8891.551827
11,63.65,3,566000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8892.380204
14,65,3,579000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8907.692308
12,94.99,4,848000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8927.255501
15,53.52,3,478000,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,8931.240658
13,6.93,1,62000,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,8946.608947
15,58.95,3,527500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8948.261238
12,38.7,2,346500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8953.488372
15,96.05,5,860000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8953.669964
17,54.04,3,484000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8956.328645
20,30.47,1,273000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,8959.632425
10,108,6,969000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8972.222222
20,61.12,3,549000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8982.329843
18,80,4,719000,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8987.5
15,75.58,4,680000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8997.089177
18,52.23,3,470000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8998.659774
20,81,4,730000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9012.345679
12,67.04,3,605000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9024.463007
12,36,2,325000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9027.777778
18,22,2,199000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9045.454545
18,44,3,398000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,9045.454545
13,30.7,1,278000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9055.374593
19,52.41,2,475000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9063.155886
17,38,1,345000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9078.947368
18,64.15,2,583000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9088.074825
17,11,1,100000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9090.909091
13,16.5,1,150000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9090.909091
12,47.76,2,435000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9108.040201
14,49.3,3,450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9127.789047
20,43.71,3,399000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9128.345916
16,17.4,2,159000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9137.931034
18,58,3,530000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9137.931034
13,42.66,2,390000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9142.053446
14,35,2,320000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9142.857143
12,21.75,1,199000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9149.425287
20,20,1,183000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9150
13,36,2,330000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9166.666667
17,72,3,660000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9166.666667
13,97,4,890000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9175.257732
18,41.3,2,379000,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,9176.755448
17,90.38,3,830000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9183.447665
19,28.85,1,265000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9185.441941
18,38.1,2,350000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9186.351706
18,41.65,3,382700,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9188.47539
20,31,1,285000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9193.548387
15,81.5,4,750000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9202.453988
13,38,1,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9210.526316
14,48.28,2,445000,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9217.067109
20,57.5,3,530000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9217.391304
15,59.61,3,550000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9226.639826
20,29.22,2,269900,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,9236.824093
20,20,1,185000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9250
16,96,4,890000,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,9270.833333
16,58.21,3,540000,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9276.756571
15,43,3,399000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9279.069767
12,72.2,4,670000,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,9279.778393
11,28.5,1,264500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9280.701754
12,42.93,3,399000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9294.19986
18,107,4,995000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9299.065421
20,30,1,279000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9300
14,43,3,400000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9302.325581
15,94.6,4,880000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9302.325581
9,5.91,1,55000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9306.260575
19,6.5,1,60500,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,9307.692308
16,9.13,1,85000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9309.967141
17,19,1,177000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9315.789474
17,93.87,4,875000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9321.401939
10,105.95,4,990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9344.030203
12,9.93,1,92800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9345.417925
13,48,2,449000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9354.166667
15,70,4,655000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9357.142857
