index,place,location,percent_veg,percent_high_veg,adress,arrondissement,place_type,lat,long
860,SQUARE HELENE,Promenades ouvertes,0.00444398,0.444398,12 RUE HELENE,17,Square,48.88647972,2.324746485
861,JARDIN DE LA COUR DE LA FERME SAINT-LAZARE,Promenades ouvertes,0.00377944,0.377944,6 SQ ALBAN SATRAGNE,10,Jardin,48.8759707,2.354188623
862,JARDIN NELSON MANDELA,Promenades ouvertes,0.4,40,32 RUE BERGER,1,Jardin,48.86257299,2.344524463
863,SQUARE RENE VIVIANI-MONTEBELLO,Promenades ouvertes,0.19524529,19.524529,25 QU MONTEBELLO,5,Square,48.8521658,2.347553855
864,SQUARE VAN VOLLENHOVEN,Promenades ouvertes,0.34870592,34.870592,5 RUE MARCEL DUBOIS,12,Square,48.83460336,2.406770778
865,Bois de Boulogne,Bois,0.02232487,2.232487,,16,Bois,48.86437982,2.23450564
866,Bois de Vincennes,Bois,0.1950534,19.50534,,12,Bois,48.8281462,2.41356542
867,Bois de Boulogne,Bois,0.53646539,53.646539,,16,Bois,48.86771453,2.268237595
868,Bois de Vincennes,Bois,0.72427921,72.427921,,12,Bois,48.82895155,2.420555495
869,Bois de Vincennes,Bois,0.76682297,76.682297,,12,Bois,48.82666413,2.424390502
870,Bois de Vincennes,Bois,0.32157947,32.157947,,12,Bois,48.83025427,2.44222603
871,JARDIN ANDREE ULMANN,Promenades ouvertes,0.33022482,33.022482,29 BD REIMS,17,Jardin,48.88948864,2.298633126
872,JARDIN BERTHE MORISOT,Promenades ouvertes,0.21126378,21.126378,34 RUE DESSOUS BERGES,13,Jardin,48.82607227,2.375103609
873,JARDIN OLYMPIADES,Promenades ouvertes,0,0,42   RUE DU JAVELOT,13,Jardin,48.82451628,2.365564686
874,JARDIN RUE DU CHALET,Promenades ouvertes,0.00113168,0.113168,18 RUE CHALET,10,Jardin,48.87394105,2.373394602
875,PROMENADE PEREIRE - TERNES / MAILLOT,Promenades ouvertes,0.00732114,0.732114,87 AV TERNES,17,Promenade,48.87937252,2.286883436
876,JARDIN FRANCOISE HELENE JOURDA,Promenades ouvertes,0,0,20 Q RUE DEPARTEMENT,18,Jardin,48.88661879,2.362214335
877,JARDIN DE LA FONDATION NAPOLEON,Promenades ouvertes,0.31743616,31.743616,2 RUE PICPUS,12,Jardin,48.84860589,2.391929911
878,JARDIN JANIS JOPLIN,Promenades ouvertes,0.31447433,31.447433,1 RUE PAGANINI,20,Square,48.85166348,2.411480068
879,JARDIN MEDIEVAL DU MUSEE DE CLUNY,Promenades ouvertes,0.41600808,41.600808,73 BD SAINT GERMAIN,5,Jardin,48.8508156,2.344140014
880,JARDIN RACHMANINOV,Promenades ouvertes,0.39158608,39.158608,20 RUE TRISTAN TZARA,18,Jardin,48.89532703,2.364263132
881,JARDIN DE L'AVENUE FOCH - PELOUSE 20,Promenades ouvertes,0.42233648,42.233648,10 AV FOCH,16,Jardin,48.87170566,2.278606166
882,JARDINS DU TROCADERO,Promenades ouvertes,0.27710021,27.710021,1 PL VARSOVIE,16,Jardin,48.8614282,2.289405777
883,Bois de Vincennes,Bois,0.95733286,95.733286,,12,Bois,48.8223357,2.43154156
884,PROMENADE PC16 (PETITE CEINTURE),Promenades ouvertes,0.72890483,72.890483,55 RUE RAFFET,16,Promenade,48.85396503,2.263681698
885,JARDIN DES MARTYRS JUIFS,Promenades ouvertes,0.09299125,9.299125,12 QU GRENELLE,15,Jardin,48.85378788,2.287406319
886,SQUARE ALEXANDRE ET RENE PARODI,Promenades ouvertes,0.1809636,18.09636,1 PL PORTE MAILLOT,16,Square,48.87648106,2.28087907
887,Bois de Vincennes,Bois,0.49054074,49.054074,,12,Bois,48.82693394,2.422024346
888,Bois de Boulogne,Bois,0.42526634,42.526634,,16,Bois,48.86376068,2.261199196
889,ILE DE REUILLY,Promenades ouvertes,0.36975495,36.975495,25 W ROUTE DE CEINTURE DU LAC DAUMESNIL,12,Ile,48.83072004,2.413931962
890,JARDIN DE REUILLY - PAUL PERNIN,Promenades ouvertes,0.21041697,21.041697,15 RUE ALBINONI,12,Jardin,48.84218032,2.387757755
891,SQUARE DES ECRIVAINS COMBATTANTS MORTS POUR LA FRANCE,Promenades ouvertes,0.12551105,12.551105,23 AV MARECHAL MAUNOURY,16,Square,48.8596278,2.265390798
892,SQUARE SAINT-GILLES - GRAND VENEUR - PAULINE ROLAND,Promenades ouvertes,0.07423699,7.423699,15 RUE GRAND VENEUR,3,Square,48.85923954,2.365397978
893,SEPE- Garage train,Bois,0,0,Parc Floral,12,Bois,48.8365436,2.448402141
894,PROMENADE PC 18 - POTEAU - ORNANO,Promenades ouvertes,0.8,80,100 RUE BELLIARD,18,Promenade,48.89720203,2.340858458
895,SQUARE DAUMESNIL,Promenades ouvertes,0.4855224,48.55224,29  ROUTE DE CEINTURE DU LAC DAUMESNIL,12,Square,48.83293986,2.413901656
896,PELOUSE DE SAINT CLOUD,Promenades ouvertes,0.07452259,7.452259,28 W AVENUE DE  SAINT CLOUD,16,Pelouse,48.85639716,2.254407531
897,SQUARE BERLIOZ,Promenades ouvertes,0.21211976,21.211976,1 PL ADOLPHE MAX,9,Square,48.88316105,2.329858589
898,SQUARE HELOISE ET ABELARD,Promenades ouvertes,0.35911526,35.911526,22 RUE PIERRE GOURDAULT,13,Square,48.83138381,2.370117263
899,SQUARE JEAN MORIN,Promenades ouvertes,0.22065215,22.065215,238 RUE CHARENTON,12,Square,48.83867526,2.388916461
900,SQUARE MONTHOLON,Promenades ouvertes,0.49782656,49.782656,79 RUE FAYETTE,9,Square,48.87697151,2.346488698
901,La Cipale,Bois,0.08475508,8.475508,Avenue de Gravelle,12,Bois,48.82561898,2.411607099
902,Tennis Club de Joinville,Bois,0.18557015,18.557015,Route de la Pyramide,12,Bois,48.82135287,2.460344407
903,INSEP,Bois,0.10805588,10.805588,Avenue du Tremblay,12,Bois,48.83264674,2.451977816
904,Club Tir à l'Arc,Bois,0.52529222,52.529222,10 w Route Saint Louis,12,Bois,48.82589171,2.426470996
905,Manège Le Chahut,Bois,0,0,21 w Avenue de Bel Air,12,Bois,48.84298964,2.42030232
906,JARDIN DE LA PLACE PIERRE LAFUE,Promenades ouvertes,0.51105752,51.105752,2 V PL PIERRE LAFUE,6,Jardin,48.84474322,2.329080209
907,Le Chais de Bagatelle,Bois,0.45874701,45.874701,10 Route du Champ d'Entraînement,16,Bois,48.87458174,2.251283042
908,Promenade de la hauteur,Promenades ouvertes,0.7,70,Hôpital de la Salpêtrière,13,,48.83784892,2.364011759
909,Blockhaus Maunoury,Bois,0,0,Avenue de Saint-Cloud,16,Bois,48.86218043,2.265661982
910,JARDIN DU TRIBUNAL D'INSTANCE DE PARIS,Jardins grandes institutions,0.51,51,11 Bis rue Casimir Perrier,7,Jardinet,48.85753139,2.320597156
911,Fondation Vuitton,Bois,0.01424825,1.424825,Avenue du Mahatma Gandhi,16,Bois,48.8767858,2.263839875
912,Le Petit Jean Bouin,Bois,0.16886624,16.886624,5-7 avenue de la Porte Molitor,16,Bois,48.84971183,2.250426496
913,ESPACE VERT DE LA PLACE DE L'EDIT DE NANTES,Promenades ouvertes,0.6,60,2 PLACE DE L' EDIT DE NANTES,19,Espace Vert,48.88888465,2.378401863
914,JARDIN DU GYMNASE ALICE MILLIAT,Promenades ouvertes,0.30185381,30.185381,11 C RUE ALESIA,14,,48.82696541,2.335468085
915,Cour de l'Académie du Climat,Jardinets décoratifs,0.6,60,2 PL BAUDOYER,4,,48.85611541,2.356027439
916,SQUARE REJANE,Promenades ouvertes,0.49169976,49.169976,58 RUE LAGNY,20,Square,48.8484175,2.404585175
917,JARDIN DE LA PLACE GILBERT PERROY,Promenades ouvertes,0.7,70,2V PLACE GILBERT PERROY,14,Jardin,48.8322101,2.32553242
918,JARDINIERES DE LA RUE DE L'AMIRAL  ROUSSIN,Décorations sur la voie publique,0.04820377,4.820377,20   RUE DE L' AMIRAL ROUSSIN,15,Jardiniere,48.84353737,2.299705592
919,SQUARE PAUL ROBIN,Promenades ouvertes,0.47765088,47.765088,10 PL HEBERT,18,Square,48.89364242,2.363376693
920,Bois de Vincennes,Bois,0.83511555,83.511555,,12,Bois,48.82533895,2.425750313
921,Bois de Vincennes,Bois,0.65263447,65.263447,,12,Bois,48.84541636,2.44364705
922,Bois de Vincennes,Bois,0.71221226,71.221226,,12,Bois,48.82500707,2.430721332
923,Bois de Vincennes,Bois,0.71301965,71.301965,,12,Bois,48.83049472,2.462339635
924,Bois de Vincennes,Bois,0.7987497,79.87497,,12,Bois,48.83738711,2.447783372
925,JARDIN DE LA DALLE D'IVRY,Promenades ouvertes,0.13569959,13.569959,9 RUE POINTE IVRY,13,Jardin,48.82227606,2.36484067
926,JARDIN DE LA RUE DES COURONNES,Promenades ouvertes,0.52823115,52.823115,73 RUE COURONNES,20,Jardin,48.87078098,2.387641389
927,JARDINET BRUNE VERCINGETORIX,Jardinets décoratifs,0.15694292,15.694292,3   BOULEVARD BRUNE,14,Jardinet,48.82824742,2.305349987
928,SQUARE PIERRE JOSEPH REDOUTE,Promenades ouvertes,0.44788651,44.788651,132 B RUE CHARONNE,11,Square,48.85493359,2.388273383
929,JARDIN PROMENADE CESARIA EVORA,Promenades ouvertes,0.1,10,2 RUE CESARIA EVORA,19,Jardin,48.89763518,2.377212599
930,JARDIN DES GRANDS MOULINS - ABBE PIERRE - JARDIN CENTRAL,Promenades ouvertes,0.00215388,0.215388,25 RUE THOMAS MANN,13,Jardin,48.82928326,2.380171559
931,PARC OMNISPORT SUZANNE LENGLEN,Promenades ouvertes,0.3428873,34.28873,7 BD FRERES VOISIN,15,Parc,48.83035107,2.27111042
932,SQUARE MADELEINE TRIBOLATI,Promenades ouvertes,0.45824432,45.824432,2 B RUE ROBERT BLACHE,10,Square,48.87717327,2.364335634
