index,price,adress,arrondissement,m2,rooms,pricem2,lat,long,tree_dist,tree_num,ilot_dist,wrong_num,ilot_num,aire_dist,aire_num
7857,340000,48 rue du chateau landon 75010,10,33,2,10303,48.883231,2.364038,512,121,380,681,682,188,404
13054,175000,51 av ledru rollin 75012,12,15,1,11667,48.848407,2.371825,1013,42,360,834,835,188,165
13055,1075000,51 av ledru rollin 75012,12,95,4,11316,48.848407,2.371825,1013,42,360,834,835,188,165
13056,1455000,51 av ledru rollin 75012,12,136,4,10699,48.848407,2.371825,1013,42,360,834,835,188,165
21816,1030000,21 rue des marronniers 75016,16,85,3,12118,48.85485,2.27594,815,128,342,382,383,188,29
21817,957500,21 rue des marronniers 75016,16,80,3,11969,48.85485,2.27594,815,128,342,382,383,188,29
3257,907250,59 rue dauphine 75006,6,69,2,13149,48.853875,2.338723,258,119,320,32,33,188,313
9220,412500,44 bd du temple 75011,11,32,2,12891,48.865797,2.36558,343,49,304,521,522,188,58
23658,1319560,2 sq emmanuel chabrier 75017,17,150,4,8797,48.884846,2.312927,360,103,297,487,488,188,483
13165,468000,55 rue traversiere 75012,12,35,2,13371,48.848469,2.374087,1202,42,283,597,598,188,178
13166,768000,55 rue traversiere 75012,12,60,2,12800,48.848469,2.374087,1202,42,283,597,598,188,178
1332,492920,75 rue des gravilliers 75003,3,31,2,15901,48.86463,2.353801,353,40,281,472,473,188,57
3544,828100,17 rue des saints peres 75006,6,60,2,13802,48.856845,2.332199,415,119,275,253,254,188,43
13853,276000,94 av de choisy 75013,13,29,2,9517,48.824945,2.361065,348,27,272,806,807,188,245
13854,285000,94 av de choisy 75013,13,39,2,7308,48.824945,2.361065,348,27,272,806,807,188,245
2126,2512300,37 bd bourdon 75004,4,199,5,12625,48.852209,2.367668,703,42,266,834,835,188,230
2918,1007000,14 av des gobelins 75005,5,84,4,11988,48.837563,2.351012,504,60,244,757,758,188,397
8410,901000,10 rue de saint quentin 75010,10,70,3,12871,48.877845,2.355625,764,43,241,861,862,188,270
23483,587216,43 rue lacroix 75017,17,54,3,10874,48.891199,2.32341,316,106,238,647,648,188,82
11220,295610,97 rue de charonne 75011,11,22,1,13437,48.854308,2.383348,913,98,237,611,612,188,393
