index,lat,long,arrondissement,location,circumference_cm,hauteur_m,stade_dev,type,adress,place_plantded,qualification,description
46,48.85210203,2.350803869,4,SQUARE JEAN XXIII / 2 QUAI DE L ARCHEVECHE,167,10,A,Orme,Square Jean XXIII,Jardin,Cet arbre est classé remarquable pour sa rareté botanique.,L'orme appartient à la famille des Ulmacées. Le port pleureur de cet arbre est remarquable. Il est le résultat d’une soudure entre deux individus différents.
47,48.88731783,2.317062668,17,SQUARE DES BATIGNOLLES,158,12,A,Plaqueminier,Square des Batignolles,Jardin,Cet arbre est classé remarquable pour sa rareté botanique à Paris.,Le plaqueminier lotier est une essence originaire du Caucase appartenant à la famille des Ébénacées. Cet arbre tire son nom scientifique (Diospyros) du grec « dios »
48,48.86125586,2.395050262,20,CIMETIERE DU PERE LACHAISE / DIV 45,375,26,M,Platane,Cimetière du Père Lachaise,Cimetière,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Le platane commun appartient à la famille des Platanacées. Celui-ci est un véritable monument végétal qui a progressivement absorbé les chapelles situées à proximité. Lorsqu’un arbre rencontre un obstacle qui le blesse continuellement
49,48.86829544,2.363189443,10,PLACE DE LA REPUBLIQUE,53,7,J,Chêne,Place de la République,Voie publique,Cet arbre est classé remarquable pour sa valeur symbolique.,Le chêne
50,48.84278367,2.296861337,15,SQUARE SAINT LAMBERT / 2 RUE JEAN FORMIGE,265,20,A,Erable,Square Saint Lambert,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Les érables appartiennent à la famille des Sapindacées. Le genre Acer comprend 120 espèces réparties en majorité dans les régions tempérées de l'hémisphère Nord. L'érable symbolise le Canada et sa sève riche en sucre procure un délicieux sirop. L’automne colore son feuillage d’un rouge flamboyant.
51,48.88774751,2.343508517,18,PARC MARCEL BLEUSTEIN BLANCHET / 1 RUE DE LA BONNE,358,27,M,Platane,Parc Marcel Bleustein Blanchet,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Essence typique de la famille des Platanacées
52,48.87290006,2.290565427,16,JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH,169,8,M,Mûrier,Avenue Foch,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Originaire d'Asie
53,48.88193645,2.398263767,19,SQUARE DE LA BUTTE DU CHAPEAU ROUGE / 11 BOULEVARD D ALGERIE,405,21,M,Frêne,Square de la Butte du Chapeau rouge,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Le frêne commun est une essence indigène appartenant à la famille des Oléacées. Le développement de ce frêne est exceptionnel pour Paris et son élégance contribue à la beauté de ce site d’exception.Cette essence est reconnaissable à ses bourgeons noirs duveteux et à ses feuilles découpées en folioles de couleur vert foncé. Au bout de ses branches
54,48.8577725,2.297245752,7,JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE,195,15,A,Arbre à Gutta-Percha,Jardin du Champ de Mars,Jardin,Cet arbre est classé remarquable pour sa rareté botanique à Paris.,Essence originaire de Chine
55,48.84727363,2.25198969,16,JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT,190,9,M,Magnolia,Jardin des Serres d'Auteuil,Jardin,Cet ensemble de 4 magnolias est classé remarquable pour son son empreinte dans le paysage.,Cette essence
56,48.84488752,2.353669162,5,SQUARE DES ARENES DE LUTECE / 2 PLACE EMILE MALE,110,3,M,Hêtre,Square des arènes de Lutèce,Jardin,Cet arbre est classé remarquable pour sa rareté botanique à Paris.,Le hêtre tortillard se caractérise par un port tortueux. Son tronc
57,48.88752647,2.31617876,17,SQUARE DES BATIGNOLLES,468,30,M,Platane,Square des Batignolles,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Le platane d'Orient est une espèce de la famille des Platanacées. Ce platane a été planté en 1872. Ici
58,48.8564742,2.394618478,20,BOULEVARD DE CHARONNE,407,23,M,Platane,Boulevard de Charonne,Voie publique,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Essence typique de la famille des Platanacées
59,48.85786707,2.348119302,4,SQUARE DE LA TOUR SAINT JACQUES / 1 BIS RUE SAINT MARTIN,105,7,A,Mûrier,Square de la Tour Saint-Jacques,Jardin,Cet arbre est classé remarquable pour sa valeur symbolique.,Le mûrier blanc est une essence originaire de Chine appartenant à la famille des Moracées. Indissociable de l’histoire de la soie
60,48.83303012,2.350696503,13,SQUARE RENE LE GALL / 1 RUE EMILE DESLANDRES,369,17,M,Marronnier,Square René Le Gall,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Originaire d’Asie Mineure et des Balkans
61,48.85777578,2.314530472,7,SQUARE D AJACCIO / 127 RUE DE GRENELLE,500,25,M,Platane,Square d'Ajaccio,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Essence typique de la famille des Platanacées
62,48.83642503,2.290185628,15,SQUARE DU CLOS FEUQUIERES,145,10,A,Hêtre,Square du Clos Feuquières,Jardin,Ces arbres sont classés remarquable pour leur ampleur et leur empreinte dans le paysage.,Essence typique de la famille des Fagacées
63,48.87704273,2.380500131,19,PARC DES BUTTES CHAUMONT,140,13,M,If,Parc des Buttes Chaumont,Jardin,Cet arbre est classé remarquable pour son ampleur et son port original.,L’if est un arbre de la famille des Taxacées présent en Europe et de l’Afrique du Nord à l’Asie mineure. De croissance extrêmement lente et de longévité exceptionnelle (jusqu'à 2000 ans)
64,48.84656523,2.252420009,16,JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT,237,13,M,Chêne,Jardin des Serres d'Auteuil,Jardin,Cet arbre est classé remarquable pour sa rareté botanique à Paris.,Le chêne vert est une essence originaire du pourtour méditerranéen appartenant à la famille des Fagacées. Bien adapté au climat urbain parisien
65,48.82295102,2.337472249,14,PARC MONTSOURIS / 28 BOULEVARD JOURDAN,355,20,M,Arbre aux quarante écus,Parc Montsouris,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Le ginkgo est une essence originaire de Chine appartenant à la famille des Ginkgoacées. Des restes fossilisés ont permis d'établir que le genre Gingko est apparu au début du jurassique
66,48.85875368,2.295499252,7,JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / SETE,205,6,A,Hêtre,Jardin du Champ de Mars,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Essence typique de la famille des Fagacées
67,48.88011575,2.385666819,19,PARC DES BUTTES CHAUMONT,335,25,M,Marronnier,Parc des Buttes Chaumont,Jardin,Cet arbre est classé remarquable pour leur ampleur et leur empreinte dans le paysage.,Originaire d’Asie Mineure et des Balkans
68,48.84624269,2.251375411,16,JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT,209,17,M,Erable,Jardin des Serres d'Auteuil,Jardin,Cet arbre est classé remarquable de par son ampleur et son empreinte dans le paysage.,L’érable de Montpellier est une essence originaire d’Europe méridionale appartenant à la famille des Sapindacées. Cette essence est identifiable à ses petites feuilles à trois lobes d’un vert brillant et à ses fruits formés d’une double ailette membraneuse permettant la dispersion par le vent. Ce sujet a été planté en 1895.
69,48.85579302,2.300264322,7,JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE,173,13,A,Plaqueminier,Jardin du Champ de Mars,Jardin,Cet arbre est classé remarquable pour son ampleur et sa rareté botanique à Paris.,Le plaqueminier lotier est une essence originaire du Caucase appartenant à la famille des Ébénacées. Cet arbre tire son nom scientifique (Diospyros) du grec « dios »
70,48.86261831,2.289804251,16,JARDINS DU TROCADERO / 3 PLACE DE VARSOVIE,490,28,M,Platane,Jardin du Trocadéro,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Essence typique de la famille des Platanacées
71,48.86857288,2.313325594,8,JARDINS DES CHAMPS ELYSEES - SQUARE MARIGNY / 41 AVENUE GABRIEL,209,22,M,Libocèdre,Jardin des Champs Elysées,Jardin,Cet arbre est classé remarquable pour sa rareté botanique à Paris.,Cette essence appartient à la famille des Cupressacées. Le calocèdre est originaire d'Amérique du Nord. Il fut introduit en Europe en 1852. D'une grande rusticité
72,48.83196736,2.325816814,14,SQUARE DE L ASPIRANT DUNAND / 20 RUE SAILLARD,163,20,A,Cèdre,Square de l'aspirant Dunant,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Le cèdre du Liban est une essence originaire du Moyen-Orient appartenant à la famille des Pinacées. Véritable sculpture végétale aux grandes branches étalées
73,48.8220251,2.336277039,14,PARC MONTSOURIS / 28 BOULEVARD JOURDAN,402,20,M,Sequoia,Parc Montsouris,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Le séquoia est une essence originaire d’Amérique du Nord. Il appartient à la famille des Cupressacées qui comprend les arbres les plus gros et les plus âgés sur Terre.
74,48.84603981,2.254066283,16,JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT,177,9,A,Micocoulier,Jardin des Serres d'Auteuil,Jardin,Cet arbre est classé remarquable pour sa rareté botanique à Paris.,Ce Celtis appartient à la famille des Cannabacées. Le micocoulier de Corée est originaire du nord de la Chine
75,48.89335545,2.34682048,18,SQUARE KRIEGEL - VALRIMONT,234,16,M,Cedrele,Square Kriegel-Valmiront,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Originaire d'Asie
76,48.86483749,2.360625537,3,SQUARE DU TEMPLE / 50 RUE DE BRETAGNE,230,16,M,Noisetier de Byzance,Square du Temple,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Le noisetier de Byzance est une essence originaire d’Europe de l’Est et d’Asie Mineure appartenant à la famille des Bétulacées. On reconnait l’espèce « de Byzance » à ses noisettes comestibles
77,48.82178823,2.322849714,14,SQUARE DU SERMENT DE KOUFRA,317,15,M,Hêtre,Square du Serment De Koufra,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Le hêtre appartient à la famille des Fagacées. On admire cette espèce pour son feuillage fin et léger à la robe pourpre foncé. Cette belle couleur contraste avec la douce écorce grise de son tronc. Le hêtre est une essence forestière sensible à la qualité et la fraîcheur de la terre. Sur sol fertile
78,48.85437945,2.298629736,7,JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE,321,20,M,Cèdre,Jardin du Champ de Mars,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Le cèdre du Liban est une essence originaire du Moyen-Orient appartenant à la famille des Pinacées. Véritable sculpture végétale aux grandes branches étalées
79,48.86208457,2.398576914,20,CIMETIERE DU PERE LACHAISE / DIV 77,115,10,A,Plaqueminier,Cimetière du Père Lachaise,Cimetière,Cet arbre est classé remarquable pour son ancienneté et son empreinte dans le paysage.,Le plaqueminier lotier est une essence originaire du Caucase appartenant à la famille des Ébénacées. Cet arbre tire son nom scientifique (Diospyros) du grec « dios »
80,48.84128069,2.344837586,5,EVP N°5-27 / ECOLE NORMALE SUPERIEURE / 45 RUE D''ULM,216,10,M,Mûrier,Jardin de l'Ecole Normale Supérieure,Espace vert privé,Cet arbre est classé remarquable pour son caractère historique.,En 1860
81,48.82413393,2.337965695,14,PARC MONTSOURIS / 28 BOULEVARD JOURDAN,390,20,M,Platane,Parc Montsouris,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Essence typique de la famille des Platanacées
82,48.88723852,2.317163106,17,SQUARE DES BATIGNOLLES,435,30,M,Pterocarya,Square des Batignolles,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Le noyer du Caucase est un arbre à feuilles caduques de la famille des Juglandacées originaire des vallées du Caucase et de l'Elbourz. Il a été introduit en France en 1784
83,48.85219144,2.347286186,5,SQUARE RENE VIVIANI MONTEBELLO / 2 RUE DU FOUARRE,365,15,M,Robinier,Square René Viviani,Jardin,Cet arbre est classé remarquable pour son caractère historique.,Originaire des États-Unis
84,48.8408777,2.392112857,12,JARDIN DE LA GARE DE REUILLY - JULIEN LAUPRETRE / 6 RUE PAUL DUKAS,205,20,A,Libocèdre,Jardin de la Gare de Reuilly,Jardin,Cet arbre est classé remarquable pour sa rareté botanique à Paris.,Le cèdre à encens ou calocèdre est une essence originaire d’Amérique du Nord appartenant à la famille des Cupressacées. Cet arbre au port colonnaire remarquable est un véritable obélisque végétal. Il est appelé cèdre à encens en raison de son écorce
85,48.87668685,2.331908895,9,SQUARE D ESTIENNE D ORVES / 1 PLACE D ESTIENNE D ORVES,340,26,M,Pterocarya,Square d'Estienne d'Orves,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Le noyer du Caucase est un arbre à feuilles caduques de la famille des Juglandacées originaire des vallées du Caucase et de l'Elbourz. Il a été introduit en France en 1784
86,48.88530199,2.342720887,18,SQUARE LOUISE MICHEL / 6 PLACE SAINT PIERRE,415,26,M,Pterocarya,Square Louise Michel,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Le noyer du Caucase est un arbre à feuilles caduques de la famille des Juglandacées originaire des vallées du Caucase et de l'Elbourz. Il a été introduit en France en 1784 puis au Royaume-Uni en 1800. Depuis
87,48.84761142,2.253143003,16,JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT,132,12,A,Sterculier,Jardin des Serres d'Auteuil,Jardin,Cet arbre est classé remarquable pour sa rareté botanique à Paris.,Le parasol chinois est un arbre à feuilles caduques de la famille des Malvacées originaire d'Asie du Sud-Est (Chine
88,48.84994647,2.344223856,5,SQUARE SAMUEL PATY / 3 PLACE PAUL PAINLEVE,267,20,M,Orme de Sibérie,Square Samuel Paty,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,L’orme du Caucase est une essence appartenant à la famille des Ulmacées. À l'automne
89,48.86562177,2.399941139,20,SQUARE EDOUARD VAILLANT / 50 AVENUE GAMBETTA,520,28,M,Platane,Square Édouard Vaillant,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Typique de la famille des Platanacées
